# host  
2
# time  upstreamTraffic  downstreamTraffic 
225002.0  5002.0  16198.0
225004.0  4831.0  4831.0
225006.0  11317.0  11317.0
225008.0  27853.0  27853.0
225010.0  54645.0  54645.0
225012.0  0.0  807.0
225014.0  807.0  807.0
225016.0  0.0  11724.0
225018.0  0.0  47923.0
225020.0  0.0  0.0
225022.0  0.0  0.0
225024.0  0.0  0.0
225026.0  0.0  1902.0
225028.0  220.0  220.0
225030.0  40179.0  40179.0
225032.0  31998.0  31998.0
225034.0  60752.0  60752.0
225036.0  0.0  0.0
225038.0  0.0  0.0
225040.0  0.0  0.0
225042.0  0.0  0.0
225044.0  0.0  0.0
225046.0  0.0  0.0
225048.0  0.0  39372.0
225050.0  0.0  0.0
225052.0  0.0  0.0
225054.0  0.0  0.0
225056.0  928.0  928.0
225058.0  198.0  198.0
225060.0  928.0  928.0
225062.0  0.0  6843.0
225064.0  0.0  34787.0
225066.0  0.0  60873.0
225068.0  0.0  39512.0
225070.0  0.0  1614.0
225072.0  0.0  11196.0
225074.0  0.0  0.0
225076.0  0.0  0.0
225078.0  0.0  0.0
225080.0  0.0  48063.0
225082.0  0.0  906.0
225084.0  807.0  7529.0
225086.0  0.0  0.0
225088.0  0.0  0.0
225090.0  0.0  0.0
225092.0  99.0  99.0
225094.0  0.0  0.0
225096.0  0.0  0.0
225098.0  0.0  0.0
225100.0  0.0  0.0
225102.0  0.0  0.0
225104.0  0.0  0.0
225106.0  0.0  0.0
225108.0  0.0  0.0
225110.0  0.0  0.0
225112.0  0.0  0.0
225114.0  0.0  0.0
225116.0  3050.0  3050.0
225118.0  252226.0  252226.0
225120.0  0.0  0.0
225122.0  0.0  0.0
225124.0  0.0  0.0
225126.0  0.0  0.0
225128.0  0.0  0.0
225130.0  0.0  0.0
225132.0  0.0  0.0
225134.0  0.0  0.0
225136.0  19623.0  19623.0
225138.0  0.0  0.0
225140.0  0.0  0.0
225142.0  0.0  0.0
225144.0  0.0  0.0
225146.0  0.0  0.0
225148.0  0.0  0.0
225150.0  0.0  0.0
225152.0  0.0  0.0
225154.0  0.0  0.0
225156.0  0.0  0.0
225158.0  0.0  0.0
225160.0  0.0  0.0
225162.0  0.0  0.0
225164.0  0.0  0.0
225166.0  0.0  0.0
225168.0  0.0  0.0
225170.0  0.0  0.0
225172.0  0.0  0.0
225174.0  0.0  0.0
225176.0  0.0  0.0
225178.0  0.0  0.0
225180.0  0.0  0.0
225182.0  0.0  0.0
225184.0  0.0  0.0
225186.0  0.0  0.0
225188.0  0.0  0.0
225190.0  0.0  0.0
225192.0  0.0  0.0
225194.0  0.0  0.0
225196.0  0.0  0.0
225198.0  0.0  0.0
225200.0  0.0  0.0
225202.0  0.0  0.0
225204.0  0.0  0.0
225206.0  0.0  0.0
225208.0  0.0  0.0
225210.0  0.0  0.0
225212.0  0.0  0.0
225214.0  0.0  0.0
225216.0  0.0  0.0
225218.0  0.0  0.0
225220.0  0.0  0.0
225222.0  0.0  0.0
225224.0  0.0  0.0
225226.0  0.0  0.0
225228.0  0.0  0.0
225230.0  0.0  0.0
225232.0  0.0  0.0
225234.0  0.0  0.0
225236.0  0.0  0.0
225238.0  0.0  0.0
225240.0  0.0  0.0
225242.0  0.0  0.0
225244.0  0.0  0.0
225246.0  0.0  0.0
225248.0  0.0  0.0
225250.0  0.0  0.0
225252.0  0.0  0.0
225254.0  0.0  0.0
225256.0  0.0  0.0
225258.0  0.0  0.0
225260.0  0.0  0.0
225262.0  0.0  0.0
225264.0  0.0  0.0
225266.0  0.0  0.0
225268.0  0.0  0.0
225270.0  0.0  0.0
225272.0  0.0  0.0
225274.0  0.0  0.0
225276.0  0.0  0.0
225278.0  0.0  0.0
225280.0  0.0  0.0
225282.0  0.0  0.0
225284.0  0.0  0.0
225286.0  0.0  0.0
225288.0  0.0  0.0
225290.0  0.0  0.0
225292.0  0.0  0.0
225294.0  0.0  0.0
225296.0  0.0  0.0
