# time  ID  size  fromHost  toHost  TTL  isResponse
2812.0000 D80 1000000 w118 c79 300 Y 
2814.0000 D60 1000000 p21 w101 300 Y 
2815.0000 D59 1000000 c63 p10 300 Y 
2815.0000 D76 1000000 c66 c47 300 Y 
2816.0000 D60 1000000 p16 w101 300 Y 
2816.0000 D59 1000000 w88 p10 300 Y 
2816.0000 D76 1000000 w80 c47 300 Y 
2818.0000 D106 1000000 w118 c51 300 Y 
2819.0000 D60 1000000 p39 w101 300 Y 
2819.0000 D59 1000000 w101 p10 300 Y 
2822.0000 D80 1000000 c40 c79 300 Y 
2822.0000 D60 1000000 c56 w101 300 Y 
2822.0000 D59 1000000 p30 p10 300 Y 
2823.0000 D76 1000000 c58 c47 300 Y 
2823.0000 D63 1000000 c63 p23 300 Y 
2825.0000 D106 1000000 c40 c51 300 Y 
2826.0000 D60 1000000 c63 w101 300 Y 
2827.0000 D106 1000000 c75 c51 300 Y 
2827.0000 D80 1000000 p9 c79 300 Y 
2829.0000 D59 1000000 p14 p10 300 Y 
2829.0000 D76 1000000 c63 c47 300 Y 
2830.0000 D80 1000000 c75 c79 300 Y 
2834.0000 D63 1000000 p30 p23 300 Y 
2835.0000 D80 1000000 c65 c79 300 Y 
2835.0000 D60 1000000 w100 w101 300 Y 
2838.0000 D106 1000000 p9 c51 300 Y 
2838.0000 D63 1000000 c74 p23 300 Y 
2839.0000 D76 1000000 c55 c47 300 Y 
2839.0000 D63 1000000 w114 p23 300 Y 
2840.0000 D76 1000000 p27 c47 300 Y 
2841.0000 D63 1000000 w119 p23 300 Y 
2841.0000 D59 1000000 p33 p10 300 Y 
2841.0000 D59 1000000 w87 p10 300 Y 
2841.0000 D60 1000000 p19 w101 300 Y 
2842.0000 D106 1000000 c65 c51 300 Y 
2842.0000 D63 1000000 w103 p23 300 Y 
2844.0000 D76 1000000 c74 c47 300 Y 
2844.0000 D60 1000000 w119 w101 300 Y 
2845.0000 D59 1000000 w117 p10 300 Y 
2845.0000 D76 1000000 w103 c47 300 Y 
2847.0000 D76 1000000 w119 c47 300 Y 
2848.0000 D80 1000000 c53 c79 300 Y 
2848.0000 D63 1000000 w101 p23 300 Y 
2851.0000 D76 1000000 w101 c47 300 Y 
2853.0000 D80 1000000 p2 c79 300 Y 
2855.0000 D59 1000000 c51 p10 300 Y 
2856.0000 D59 1000000 c71 p10 300 Y 
2860.0000 D106 1000000 p2 c51 300 Y 
2860.0000 D80 1000000 w115 c79 300 Y 
2863.0000 D106 1000000 c53 c51 300 Y 
2866.0000 D60 1000000 p6 w101 300 Y 
2866.0000 D60 1000000 w103 w101 300 Y 
2867.0000 D106 1000000 w115 c51 300 Y 
2869.0000 D63 1000000 c71 p23 300 Y 
2870.0000 D59 1000000 w95 p10 300 Y 
2876.0000 D80 1000000 c49 c79 300 Y 
2877.0000 D76 1000000 w95 c47 300 Y 
2880.0000 D60 1000000 p11 w101 300 Y 
2880.0000 D60 1000000 w95 w101 300 Y 
2880.0000 D60 1000000 c44 w101 300 Y 
2883.0000 D63 1000000 c44 p23 300 Y 
2883.0000 D60 1000000 p36 w101 300 Y 
2883.0000 D80 1000000 c56 c79 300 Y 
2884.0000 D59 1000000 p35 p10 300 Y 
2885.0000 D63 1000000 c62 p23 300 Y 
2885.0000 D106 1000000 c49 c51 300 Y 
2886.0000 D106 1000000 c56 c51 300 Y 
2886.0000 D59 1000000 w89 p10 300 Y 
2889.0000 D106 1000000 c66 c51 300 Y 
2890.0000 D76 1000000 p35 c47 300 Y 
2890.0000 D80 1000000 w104 c79 300 Y 
2890.0000 D76 1000000 p2 c47 300 Y 
2891.0000 D76 1000000 c62 c47 300 Y 
2892.0000 D80 1000000 c66 c79 300 Y 
2893.0000 D60 1000000 p35 w101 300 Y 
2894.0000 D60 1000000 c62 w101 300 Y 
2898.0000 D76 1000000 p39 c47 300 Y 
2899.0000 D60 1000000 w101 w101 300 Y 
2901.0000 D63 1000000 p39 p23 300 Y 
2901.0000 D106 1000000 w104 c51 300 Y 
2901.0000 D76 1000000 w87 c47 300 Y 
2902.0000 D80 1000000 p22 c79 300 Y 
2902.0000 D63 1000000 c55 p23 300 Y 
2908.0000 D80 1000000 p39 c79 300 Y 
2908.0000 D60 1000000 p12 w101 300 Y 
2911.0000 D106 1000000 p39 c51 300 Y 
2912.0000 D60 1000000 c57 w101 300 Y 
2915.0000 D60 1000000 p20 w101 300 Y 
2918.0000 D106 1000000 p22 c51 300 Y 
2918.0000 D80 1000000 c57 c79 300 Y 
2921.0000 D106 1000000 c57 c51 300 Y 
2923.0000 D76 1000000 p3 c47 300 Y 
2924.0000 D76 1000000 w106 c47 300 Y 
2926.0000 D60 1000000 p3 w101 300 Y 
2928.0000 D80 1000000 w103 c79 300 Y 
2929.0000 D80 1000000 w98 c79 300 Y 
2930.0000 D59 1000000 c67 p10 300 Y 
2931.0000 D106 1000000 w83 c51 300 Y 
2934.0000 D80 1000000 p20 c79 300 Y 
2935.0000 D59 1000000 c79 p10 300 Y 
2936.0000 D106 1000000 w98 c51 300 Y 
2937.0000 D80 1000000 w92 c79 300 Y 
2937.0000 D106 1000000 p20 c51 300 Y 
2938.0000 D76 1000000 w111 c47 300 Y 
2939.0000 D60 1000000 c64 w101 300 Y 
2940.0000 D59 1000000 c41 p10 300 Y 
2943.0000 I16 705208 w114 null 300 N 
2944.0000 D60 1000000 w97 w101 300 Y 
2947.0000 D106 1000000 w92 c51 300 Y 
2947.0000 D63 1000000 p31 p23 300 Y 
2949.0000 D106 1000000 w103 c51 300 Y 
2954.0000 D63 1000000 w93 p23 300 Y 
2962.0000 D80 1000000 w100 c79 300 Y 
2969.0000 D60 1000000 c42 w101 300 Y 
2969.0000 D63 1000000 w111 p23 300 Y 
2970.0000 D61 1000000 w118 c71 300 Y 
2972.0000 D80 1000000 w111 c79 300 Y 
2974.0000 D80 1000000 p21 c79 300 Y 
2975.0000 D59 1000000 p18 p10 300 Y 
2975.0000 D60 1000000 w107 w101 300 Y 
2975.0000 D106 1000000 w111 c51 300 Y 
2976.0000 D106 1000000 w100 c51 300 Y 
2977.0000 D106 1000000 p21 c51 300 Y 
2977.0000 D80 1000000 p13 c79 300 Y 
2985.0000 D80 1000000 w116 c79 300 Y 
2987.0000 D80 1000000 w83 c79 300 Y 
2988.0000 D76 1000000 w97 c47 300 Y 
2988.0000 D80 1000000 p25 c79 300 Y 
2990.0000 D106 1000000 w107 c51 300 Y 
2991.0000 D80 1000000 w112 c79 300 Y 
2993.0000 D60 1000000 w110 w101 300 Y 
2993.0000 D76 1000000 c51 c47 300 Y 
2996.0000 D63 1000000 c51 p23 300 Y 
2998.0000 D80 1000000 p5 c79 300 Y 
2999.0000 D80 1000000 w107 c79 300 Y 
3000.0000 D106 1000000 p25 c51 300 Y 
3003.0000 D63 1000000 p35 p23 300 Y 
3004.0000 D76 1000000 p18 c47 300 Y 
3005.0000 D106 1000000 w116 c51 300 Y 
3005.0000 D106 1000000 p5 c51 300 Y 
3006.0000 D60 1000000 c76 w101 300 Y 
3008.0000 D80 1000000 w106 c79 300 Y 
3008.0000 D80 1000000 p31 c79 300 Y 
3010.0000 D60 1000000 p27 w101 300 Y 
3011.0000 D106 1000000 p31 c51 300 Y 
3012.0000 D80 1000000 c76 c79 300 Y 
3013.0000 D60 1000000 p4 w101 300 Y 
3015.0000 D106 1000000 c76 c51 300 Y 
3018.0000 D25 1000000 w118 w108 300 Y 
3019.0000 D18 1000000 p14 w114 300 Y 
3020.0000 D76 1000000 p4 c47 300 Y 
3020.0000 D80 1000000 p27 c79 300 Y 
3021.0000 D76 1000000 w81 c47 300 Y 
3023.0000 I17 615127 p34 null 300 N 
3023.0000 D106 1000000 p27 c51 300 Y 
3027.0000 D80 1000000 w81 c79 300 Y 
3029.0000 D80 1000000 p35 c79 300 Y 
3031.0000 D60 1000000 c61 w101 300 Y 
3031.0000 D76 1000000 w107 c47 300 Y 
3032.0000 D106 1000000 p35 c51 300 Y 
3035.0000 D106 1000000 p4 c51 300 Y 
3037.0000 D76 1000000 p19 c47 300 Y 
3038.0000 D80 1000000 p4 c79 300 Y 
3040.0000 D63 1000000 p19 p23 300 Y 
3043.0000 D80 1000000 p19 c79 300 Y 
3046.0000 D106 1000000 w112 c51 300 Y 
3046.0000 D76 1000000 c64 c47 300 Y 
3047.0000 D80 1000000 p26 c79 300 Y 
3048.0000 D106 1000000 p13 c51 300 Y 
3049.0000 D106 1000000 w106 c51 300 Y 
3050.0000 D60 1000000 p24 w101 300 Y 
3050.0000 D106 1000000 p26 c51 300 Y 
3050.0000 D106 1000000 p19 c51 300 Y 
3051.0000 D61 1000000 p13 c71 300 Y 
3058.0000 D61 1000000 w83 c71 300 Y 
3061.0000 D80 1000000 c61 c79 300 Y 
3064.0000 D106 1000000 c61 c51 300 Y 
3072.0000 D63 1000000 p4 p23 300 Y 
3076.0000 D80 1000000 w97 c79 300 Y 
3077.0000 D80 1000000 p17 c79 300 Y 
3078.0000 D76 1000000 p29 c47 300 Y 
3079.0000 D80 1000000 w101 c79 300 Y 
3079.0000 D106 1000000 w97 c51 300 Y 
3080.0000 D106 1000000 p32 c51 300 Y 
3081.0000 D60 1000000 p29 w101 300 Y 
3082.0000 D80 1000000 c45 c79 300 Y 
3084.0000 D80 1000000 p32 c79 300 Y 
3085.0000 D80 1000000 w86 c79 300 Y 
3085.0000 D106 1000000 c45 c51 300 Y 
3085.0000 D61 1000000 w109 c71 300 Y 
