# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2692.0000 I2 638690 4 2344.0000 p23 null 260 N p23->p18->p0->p33->w92
2695.0000 I4 638104 5 1939.0000 c47 null 267 N c47->c51->c68->w97->c58->c40
2696.0000 I2 638690 4 2348.0000 p23 null 260 N p23->p18->w97->w116->p27
2697.0000 I4 638104 5 1941.0000 c47 null 267 N c47->w114->w99->w115->c54->c73
2698.0000 I2 638690 5 2350.0000 p23 null 260 N p23->p18->t121->w103->c77->p1
2698.0000 I4 638104 4 1942.0000 c47 null 267 N c47->p6->c61->w111->p9
2700.0000 I5 566179 7 1722.0000 w101 null 271 N w101->c60->p12->t124->w107->w100->c54->c73
2700.0000 I5 566179 3 1722.0000 w101 null 271 N w101->p31->w106->w96
2701.0000 I2 638690 6 2353.0000 p23 null 260 N p23->p18->w97->p39->p20->c49->w98
2701.0000 I4 638104 5 1945.0000 c47 null 267 N c47->c51->p0->p29->c77->p1
2701.0000 I2 638690 5 2353.0000 p23 null 260 N p23->p18->p22->c57->c64->w86
2701.0000 I4 638104 5 1945.0000 c47 null 267 N c47->c51->c68->w97->c58->p26
2703.0000 I2 638690 3 2355.0000 p23 null 260 N p23->p18->p3->w80
2704.0000 I5 566179 4 1726.0000 w101 null 271 N w101->p31->p26->c64->p9
2704.0000 I4 638104 5 1948.0000 c47 null 267 N c47->c51->p0->p29->c45->w92
2705.0000 I2 638690 4 2357.0000 p23 null 260 N p23->p18->p0->p33->p20
2707.0000 I5 566179 6 1729.0000 w101 null 271 N w101->w85->p24->p23->c78->c45->w92
2708.0000 I4 638104 5 1952.0000 c47 null 267 N c47->c51->p0->p16->c42->p5
2708.0000 I2 638690 5 2360.0000 p23 null 260 N p23->p18->w97->w116->p21->p7
2708.0000 I4 638104 7 1952.0000 c47 null 267 N c47->c51->c68->w97->c58->p26->p33->p20
2710.0000 I2 638690 5 2362.0000 p23 null 260 N p23->p18->t121->w103->c71->p25
2711.0000 I13 803022 5 401.0000 w108 null 293 N w108->p22->p23->w114->w118->c55
2712.0000 I1 593012 6 2627.0000 p10 null 256 N p10->p34->w97->w115->p33->p27->w102
2714.0000 I5 566179 6 1736.0000 w101 null 271 N w101->c60->p12->t124->w107->p33->p5
2716.0000 I4 638104 4 1960.0000 c47 null 267 N c47->c51->w106->c71->p25
2717.0000 I4 638104 4 1961.0000 c47 null 267 N c47->c51->p0->w119->w98
2717.0000 I2 638690 4 2369.0000 p23 null 260 N p23->p18->p0->p33->w90
2718.0000 I5 566179 4 1740.0000 w101 null 271 N w101->w85->p24->p23->p8
2719.0000 I1 593012 3 2634.0000 p10 null 256 N p10->w89->c71->c48
2720.0000 I5 566179 9 1742.0000 w101 null 270 N w101->c60->p12->t124->w107->w100->c54->p22->w119->w98
2722.0000 I2 638690 5 2374.0000 p23 null 260 N p23->p18->t121->w103->c71->c48
2722.0000 I5 566179 7 1744.0000 w101 null 270 N w101->c60->p12->t124->w107->w100->w86->p15
2722.0000 I2 638690 4 2374.0000 p23 null 260 N p23->p18->p0->p33->c68
2723.0000 I2 638690 4 2375.0000 p23 null 260 N p23->p18->p25->c41->c76
2724.0000 I4 638104 5 1968.0000 c47 null 267 N c47->c51->p0->p29->c45->w84
2724.0000 I2 638690 3 2376.0000 p23 null 260 N p23->p10->c55->w118
2725.0000 I4 638104 7 1969.0000 c47 null 267 N c47->c51->c68->w97->c58->p26->p33->c68
2725.0000 I4 638104 4 1969.0000 c47 null 267 N c47->c51->w106->p23->c43
2727.0000 I5 566179 6 1749.0000 w101 null 270 N w101->w85->p24->p23->c78->c45->w84
2727.0000 I4 638104 5 1971.0000 c47 null 267 N c47->c51->c68->w97->c55->w118
2727.0000 I1 593012 6 2642.0000 p10 null 255 N p10->p34->w97->w115->p33->p27->p37
2728.0000 I5 566179 4 1750.0000 w101 null 270 N w101->w85->p24->p23->c43
2730.0000 I2 638690 4 2382.0000 p23 null 260 N p23->p18->p12->w112->w116
2732.0000 I4 638104 4 1976.0000 c47 null 267 N c47->c51->w106->p23->c44
2732.0000 I2 638690 4 2384.0000 p23 null 260 N p23->p18->p3->c66->c56
2732.0000 I4 638104 2 1976.0000 c47 null 267 N c47->w114->c52
2733.0000 I5 566179 3 1755.0000 w101 null 270 N w101->w85->p24->c40
2733.0000 I2 638690 4 2385.0000 p23 null 260 N p23->p18->p0->p33->c49
2734.0000 I4 638104 5 1978.0000 c47 null 267 N c47->p6->c61->p12->c62->p32
2735.0000 I4 638104 6 1979.0000 c47 null 267 N c47->c51->p0->p5->c64->c66->c56
2736.0000 I4 638104 6 1980.0000 c47 null 267 N c47->c51->p0->p16->w103->w112->w116
2737.0000 I5 566179 5 1759.0000 w101 null 270 N w101->w85->p24->w84->c62->p32
2737.0000 I1 593012 4 2652.0000 p10 null 255 N p10->p11->p28->w95->w80
2739.0000 I2 638690 4 2391.0000 p23 null 260 N p23->p18->p0->p33->w100
2739.0000 I1 593012 4 2654.0000 p10 null 255 N p10->p11->p3->c57->w94
2740.0000 I1 593012 2 2655.0000 p10 null 255 N p10->w89->c43
2740.0000 I5 566179 5 1762.0000 w101 null 270 N w101->w85->p24->w84->c62->p25
2742.0000 I4 638104 7 1986.0000 c47 null 266 N c47->c51->c68->w97->c58->p26->p33->w100
2742.0000 I4 638104 2 1986.0000 c47 null 266 N c47->w114->p14
